Name,Collection Score,Level,Arena Rank,Donations,Last Login
Robertiox,103162,61,2152,625,2020-11-14
DisneySpain20,106718,62,1595,531,2020-11-14
sHiraN,102424,60,2824,650,2020-11-14
Random,162908,68,1389,5,2020-11-14
Greekgeek,178389,68,4430,450,2020-11-14
GustavoCG,108482,66,4522,215,2020-11-14
Ikaedih,370502,70,4202,698,2020-11-21
Ronik,220883,67,3042,787,2020-11-21
r0ny,194175,68,3258,854,2020-11-21
Loitzune,190031,70,5264,1015,2020-11-21
Hiros,178046,68,4130,851,2020-11-21
Txutxy,176202,69,4004,864,2020-11-21
alex87,176034,69,3474,676,2020-11-21
Random,168257,68,1260,40,2020-11-21
☆Gasphernus☆,165845,68,4030,716,2020-11-21
MonitoStrike,161832,68,3159,397,2020-11-21
Fredo,159271,67,4011,753,2020-11-21
Berjilius,158407,68,3059,846,2020-11-21
Bruxen,158735,67,4188,855,2020-11-21
Huco,150213,68,3265,831,2020-11-21
Piscu,149884,61,2640,258,2020-11-21
Amérendar,148913,68,4248,596,2020-11-21
vittorio972,148663,69,4017,350,2020-11-21
Palito.inc,148299,67,2546,582,2020-11-21
Aromaz,147739,66,2009,276,2020-11-21
vanenav86,146435,68,3007,916,2020-11-21
Martibrum,146310,67,3092,828,2020-11-21
Surfer,147677,64,4030,210,2020-11-21
Pandita,143749,66,3172,583,2020-11-21
ismaellc,143611,68,4228,811,2020-11-21
Tutti,143213,67,3308,812,2020-11-21
Ebanreb,141800,68,4134,242,2020-11-21
LittleSabia,140513,68,3043,561,2020-11-21
DesmondMiles,140270,67,3314,523,2020-11-21
xJeLLy,137036,68,3200,858,2020-11-21
plate87,134340,67,2033,754,2020-11-21
Hamilkar,134881,68,4002,808,2020-11-21
Pahoehoe,132976,67,3994,681,2020-11-21
LUISBTABTZ,130432,64,3564,283,2020-11-21
MaxiBella,128444,68,3240,284,2020-11-21
Rojero,128500,63,2247,267,2020-11-21
lola,128264,64,3106,308,2020-11-21
SurferPaul,128270,64,3036,530,2020-11-21
superpapin,125693,65,3072,582,2020-11-21
sandradisney,123464,61,1535,276,2020-11-21
Saisem,122181,67,4162,1019,2020-11-21
GhosTrident,122584,67,3397,523,2020-11-21
licasa,120358,65,3078,45,2020-11-21
Llebea,114288,66,2317,249,2020-11-21
Brajamaro,112270,63,2537,640,2020-11-21
DisneySpain20,111765,64,2031,566,2020-11-21
ZaguracK,109689,66,1763,202,2020-11-21
Robertiox,105913,61,2193,665,2020-11-21
sHiraN,107350,60,2660,681,2020-11-21
GustavoCG,110426,66,4150,250,2020-11-21
Greekgeek,183301,69,4166,484,2020-11-21
Ikaedih,374875,70,4472,723,2020-11-28
Ronik,224550,67,3229,821,2020-11-28
r0ny,199927,69,3515,869,2020-11-28
Loitzune,196929,70,5387,1050,2020-11-28
Txutxy,183711,69,4098,889,2020-11-28
Hiros,183069,69,4116,876,2020-11-28
alex87,182528,69,3836,711,2020-11-28
☆Gasphernus☆,172284,69,4024,734,2020-11-28
Random,171541,69,1452,75,2020-11-28
MonitoStrike,168048,68,3377,427,2020-11-28
Fredo,163079,67,4207,786,2020-11-28
Bruxen,160392,68,4390,885,2020-11-28
Berjilius,160291,68,3144,881,2020-11-28
Huco,156519,68,3649,849,2020-11-28
Amérendar,155836,69,4286,619,2020-11-28
Piscu,153834,62,2856,288,2020-11-28
Aromaz,152372,66,2010,306,2020-11-28
vittorio972,152245,69,4010,384,2020-11-28
Martibrum,151557,67,3217,863,2020-11-28
Surfer,152400,65,4007,215,2020-11-28
Palito.inc,150802,67,2496,612,2020-11-28
vanenav86,148375,68,3033,941,2020-11-28
Tutti,148021,67,3622,832,2020-11-28
Pandita,147681,66,3360,605,2020-11-28
DesmondMiles,146485,68,3808,525,2020-11-28
ismaellc,146364,68,4460,842,2020-11-28
LittleSabia,145721,68,3086,576,2020-11-28
xJeLLy,142201,68,3520,888,2020-11-28
plate87,139368,67,2021,780,2020-11-28
Hamilkar,138867,68,4016,843,2020-11-28
LUISBTABTZ,136988,65,4004,313,2020-11-28
Pahoehoe,135761,67,3923,696,2020-11-28
lola,135137,65,3324,319,2020-11-28
SurferPaul,132696,64,3150,560,2020-11-28
superpapin,130885,65,3141,608,2020-11-28
Rojero,130752,64,2582,276,2020-11-28
MaxiBella,133842,68,3475,310,2020-11-28
sandradisney,127765,62,1625,310,2020-11-28
GhosTrident,128059,68,3932,548,2020-11-28
Saisem,125843,68,4352,1054,2020-11-28
licasa,125744,66,3220,77,2020-11-28
Llebea,119087,67,2460,273,2020-11-28
DisneySpain20,115811,64,2238,586,2020-11-28
Brajamaro,114664,64,2676,674,2020-11-28
ZaguracK,114088,66,2003,209,2020-11-28
Robertiox,110091,62,2489,690,2020-11-28
sHiraN,110672,61,2804,716,2020-11-28
GustavoCG,115995,67,4928,275,2020-11-28
DvApolo,138932,68,3610,10,2020-11-28
Greekgeek,190217,69,4374,513,2020-11-28
